순번,대분류,상품명,대여횟수,제조사,구성품,장난감나라 위치
91,역할놀이,피자카트,1,립프로그,"카트, 피자핸들, 피자4개, 커터, 토핑6개, 치즈통, 지폐, 접시, 동전, 포장박스","서울특별시 용산구 백범로 329, 1층"
92,"조작,탐색",자물쇠 퍼즐,1,멜리사앤더그,본체1개,"서울특별시 용산구 백범로 329, 1층"
93,"조작,탐색",자물쇠 퍼즐,1,멜리사앤더그,본체1개,"서울특별시 용산구 백범로 329, 1층"
94,역할놀이,뽀로로 병원놀이,0,미미월드,"진료가방, 혈압계, 진료판, 주사기, 체온계, 안경, 알역통, 반사경, 밴드, 청진기, 놀이판, 시력검사표, 캡슐약, 해열제박스","서울특별시 용산구 백범로 329, 1층"
95,역할놀이,뽀로로 병원놀이,0,미미월드,"진료가방, 혈압계, 진료판, 주사기, 체온계, 안경, 알역통, 반사경, 밴드, 청진기, 놀이판, 시력검사표, 캡슐약, 해열제박스","서울특별시 용산구 백범로 329, 1층"
96,신체,범보의자 멀티시트 그린,0,범보,"본체, 트레이","서울특별시 용산구 백범로 329, 1층"
97,신체,범보의자 멀티시트 그린,0,범보,"본체, 트레이","서울특별시 용산구 백범로 329, 1층"
98,"조작,탐색",멜로디 가오리 푸수팝,1,브라이트스타트,본체1개,"서울특별시 용산구 백범로 329, 1층"
99,"조작,탐색",멜로디 가오리 푸수팝,1,브라이트스타트,본체1개,"서울특별시 용산구 백범로 329, 1층"
100,"조작,탐색",스핀문어 흡착장난감,1,베이비아인슈타인,본체1개,"서울특별시 용산구 백범로 329, 1층"
101,"조작,탐색",스핀문어 흡착장난감,1,베이비아인슈타인,본체1개,"서울특별시 용산구 백범로 329, 1층"
102,역할놀이,매직터치 캐셔놀이 계산대,1,베이비아인슈타인,"본체, 코인3개, 카드","서울특별시 용산구 백범로 329, 1층"
103,역할놀이,매직터치 캐셔놀이 계산대,1,베이비아인슈타인,"본체, 코인3개, 카드","서울특별시 용산구 백범로 329, 1층"
104,"조작,탐색",마그네틱 블럭 잠수비행기,1,베이비아인슈타인,마그네틱블록11개,"서울특별시 용산구 백범로 329, 1층"
105,"조작,탐색",마그네틱 블럭 잠수비행기,1,베이비아인슈타인,마그네틱블록11개,"서울특별시 용산구 백범로 329, 1층"
106,"조작,탐색",마그네틱 블럭 자동차,1,베이비아인슈타인,마그네틱블록20개,"서울특별시 용산구 백범로 329, 1층"
107,"조작,탐색",마그네틱 블럭 자동차,0,베이비아인슈타인,마그네틱블록20개,"서울특별시 용산구 백범로 329, 1층"
108,신체,디즈니 미니마우스 점퍼루,1,브라이트스타트,본체1개,"서울특별시 용산구 백범로 329, 1층"
109,신체,디즈니 미니마우스 점퍼루,1,브라이트스타트,본체1개,"서울특별시 용산구 백범로 329, 1층"
110,신체,디즈니 캐릭터 멜로디 모빌,1,디즈니베이비,"거치대, 모빌, 모빌대, 인형4개","서울특별시 용산구 백범로 329, 1층"
111,신체,디즈니 캐릭터 멜로디 모빌,1,디즈니베이비,"거치대, 모빌, 모빌대, 인형4개","서울특별시 용산구 백범로 329, 1층"
112,음률,오케스트라심포니,1,브랜드B,"락앤롤 본체, 악기/보컬 13종, 교재","서울특별시 용산구 백범로 329, 1층"
113,음률,오케스트라심포니,1,브랜드B,"락앤롤 본체, 악기/보컬 13종, 교재","서울특별시 용산구 백범로 329, 1층"
114,역할놀이,스카니아 560R 동물수송트럭,1,브루더,"수송차, 동물","서울특별시 용산구 백범로 329, 1층"
115,역할놀이,스카니아 560R 동물수송트럭,1,브루더,"수송차, 동물","서울특별시 용산구 백범로 329, 1층"
116,신체,걸음마 학습기 스마트 폴딩,0,브이텍,"본체, 전화기","서울특별시 용산구 백범로 329, 1층"
117,신체,걸음마 학습기 스마트 폴딩,0,브이텍,"본체, 전화기","서울특별시 용산구 백범로 329, 1층"
118,"조작,탐색",밸런싱 링쌓기,1,브이텍,"본체, 링8개","서울특별시 용산구 백범로 329, 1층"
119,"조작,탐색",밸런싱 링쌓기,1,브이텍,"본체, 링8개","서울특별시 용산구 백범로 329, 1층"
120,"조작,탐색",6in1 트위스트 에듀큐브,0,브이텍,"본체, 블록4개","서울특별시 용산구 백범로 329, 1층"
121,"조작,탐색",6in1 트위스트 에듀큐브,0,브이텍,"본체, 블록4개","서울특별시 용산구 백범로 329, 1층"
122,신체,3in1 청소트럭 붕붕카,0,브이텍,"트럭, 블록6개","서울특별시 용산구 백범로 329, 1층"
123,신체,3in1 청소트럭 붕붕카,0,브이텍,"트럭, 블록6개","서울특별시 용산구 백범로 329, 1층"
124,역할놀이,스마트 매디컬키트,0,브이텍,"태블릿, 가운, 가방, 의료용품13개","서울특별시 용산구 백범로 329, 1층"
125,역할놀이,스마트 매디컬키트,0,브이텍,"태블릿, 가운, 가방, 의료용품13개","서울특별시 용산구 백범로 329, 1층"
126,"조작,탐색",마블 러쉬 스타터세트,1,브이텍,"구슬3개, 빌딩피스30개","서울특별시 용산구 백범로 329, 1층"
127,"조작,탐색",마블 러쉬 스타터세트,1,브이텍,"구슬3개, 빌딩피스30개","서울특별시 용산구 백범로 329, 1층"
128,역할놀이,티니핑 슈가 베리팩트,0,삼진,"팩트, 쉐이커, 참4개, 체인4개, 보관함2개, 설명서","서울특별시 용산구 백범로 329, 1층"
129,역할놀이,티니핑 슈가 베리팩트,0,삼진,"팩트, 쉐이커, 참4개, 체인4개, 보관함2개, 설명서","서울특별시 용산구 백범로 329, 1층"
130,역할놀이,새콤달콤 티니핑 아이스크림카,0,삼진,"아이스크림차, 카트, 부품","서울특별시 용산구 백범로 329, 1층"
131,역할놀이,새콤달콤 티니핑 아이스크림카,0,삼진,"아이스크림차, 카트, 부품","서울특별시 용산구 백범로 329, 1층"
132,언어,새콤달콤 캐치티니핑 에듀버스,1,삼진,"에듀버스, 카드24장","서울특별시 용산구 백범로 329, 1층"
133,언어,새콤달콤 캐치티니핑 에듀버스,1,삼진,"에듀버스, 카드24장","서울특별시 용산구 백범로 329, 1층"
134,역할놀이,핑크래빗세탁기,0,세주,"세탁기, 의류, 바구니, 다리미, 세제3개, 건조대, 다림받침대","서울특별시 용산구 백범로 329, 1층"
135,역할놀이,핑크래빗세탁기,0,세주,"세탁기, 의류, 바구니, 다리미, 세제3개, 건조대, 다림받침대","서울특별시 용산구 백범로 329, 1층"
136,음률,신나는악기세트,1,숲소리,악기3개,"서울특별시 용산구 백범로 329, 1층"
137,역할놀이,퍼스트 싱크대,9,리틀타익스,"본체, 구성품13개","서울특별시 용산구 백범로 329, 1층"
138,언어,말문트기 핑크퐁 펜,8,마이리틀타이거,"본체, 펜","서울특별시 용산구 백범로 329, 1층"
139,언어,핑크퐁 영어놀이 아기상어펜,8,마이리틀타이거,"그림책, 아기상어펜, 알파벳카드26장, 핸드폰카드, 벽그림2장","서울특별시 용산구 백범로 329, 1층"
140,블록,프레스&스테이 감각놀이 블럭세트,8,비키즈,블록24개,"서울특별시 용산구 백범로 329, 1층"
141,음률,판다 DJ놀이,7,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
142,"조작,탐색",팝업 버디,6,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
143,블록,자석블록세트 40P,8,슈와츠,자석블록40개,"서울특별시 용산구 백범로 329, 1층"
144,음률,스테이지스타 휴대용피아노,8,슈와츠,"피아노, 악보","서울특별시 용산구 백범로 329, 1층"
145,음률,고슴도치 아코디언,6,스킵합,본체1개,"서울특별시 용산구 백범로 329, 1층"
146,역할놀이,컵케이크 만들기 놀이,5,스킵합,"스탠드, 케이크4개, 데코4개, 컵4개, 토퍼4개, 주머니","서울특별시 용산구 백범로 329, 1층"
147,신체,코끼리지붕차,5,심플레이3,본체1개,"서울특별시 용산구 백범로 329, 1층"
148,신체,아마존 엑서쏘서 트리플펀,10,이븐플로,"본체, 매트, 구성물2개","서울특별시 용산구 백범로 329, 1층"
149,음률,DJ 뮤직테이블,10,피셔프라이스,"본체, 다리4개","서울특별시 용산구 백범로 329, 1층"
150,"조작,탐색",액티비티 보드,9,피셔프라이스,"본체, 도장3개","서울특별시 용산구 백범로 329, 1층"
151,신체,걸음마 친구 수다쟁이전화기,9,피셔프라이스,본체1개,"서울특별시 용산구 백범로 329, 1층"
152,"조작,탐색",123스쿨북,10,피셔프라이스,본체1개,"서울특별시 용산구 백범로 329, 1층"
153,음률,디제이 스튜디오,9,하페,본체1개,"서울특별시 용산구 백범로 329, 1층"
154,신체,스탭360 플러스 보행기,7,엔픽스,본체 1개,"서울특별시 용산구 백범로 329, 1층"
155,신체,더 뉴 bmw Z4 푸쉬카 붕붕카,10,대호토이즈,"본체, 캐노피","서울특별시 용산구 백범로 329, 1층"
156,음률,뽀로로 춤추는 노래방,9,주영이앤씨,"본체, 인형5개","서울특별시 용산구 백범로 329, 1층"
157,"조작,탐색",핑크퐁 슈퍼구조대 자동차,9,아이윌컴퍼니,자동차3개,"서울특별시 용산구 백범로 329, 1층"
158,신체,3in1 트램폴린,9,스마트라이크,"본체, 안전바, 커버, 볼100개","서울특별시 용산구 백범로 329, 1층"
159,역할놀이,아이스크림 카트 디럭스,8,립프로그,"아이스크림카트, 콘3개, 아이스크림8개, 토핑3개, 카드6개, 바 아이스크림4개, 토핑4개, 지폐, 동전","서울특별시 용산구 백범로 329, 1층"
160,신체,꼬마버스타요 골프세트,9,바니랜드,"골프백, 골프채4개, 골프공3개,홀겁&깃발2개","서울특별시 용산구 백범로 329, 1층"
161,신체,기운센포크레인붕붕카,9,제스터,"본체, 집개발","서울특별시 용산구 백범로 329, 1층"
162,음률,오케스트라 심포니,9,브랜드B,"락앤롤 본체, 악기/보컬 13종, 교재","서울특별시 용산구 백범로 329, 1층"
163,"조작,탐색",서프라이즈 피크닉 6810,8,러닝리소스,"바구니10개, 음식10개, 피크닉커버, 나비","서울특별시 용산구 백범로 329, 1층"
164,신체,리틀액티비티가든,10,리틀타익스,"다기능놀이판4개, 공 4개, 도형 4개","서울특별시 용산구 백범로 329, 1층"
165,역할놀이,말랑말랑 캐릭터치과놀이,9,브레인숲,"보관함, 치과친구들10개","서울특별시 용산구 백범로 329, 1층"
166,"조작,탐색",자물쇠퍼즐,10,멜리사앤더그,본체1개,"서울특별시 용산구 백범로 329, 1층"
167,"조작,탐색",핑크퐁 아기상어 양치놀이,9,오로라월드,"본체, 칫솔, 치약, 양치컵, 칭찬카드2개, 양치카드2개","서울특별시 용산구 백범로 329, 1층"
168,"조작,탐색",스마트 피기뱅크,9,피셔프라이스,"본체, 동전10개","서울특별시 용산구 백범로 329, 1층"
169,"조작,탐색",6in1 변신큐브,9,하베브릭스,"변신블럭6개, 도형4개","서울특별시 용산구 백범로 329, 1층"
170,음률,토칸 피아노 놀이,11,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
171,음률,토칸 피아노 놀이,11,비키즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
